ID,x,y,pixel_index,logmass,log_ssfr,dust2,gas_logz,logSFRratio0,e_logmass,e_log_ssfr,e_dust2,e_gas_logz
toy_0858,18,14,858,6.217050,-9.932444,0.156695,-0.389224,-0.180045,0.064935,0.126381,0.050356,0.065855
toy_0859,19,14,859,6.136235,-9.967326,0.159461,-0.435326,-0.271535,0.064166,0.137026,0.052124,0.073478
toy_0860,20,14,860,6.239232,-9.890358,0.198801,-0.434267,-0.221500,0.063774,0.131092,0.058847,0.065188
toy_0861,21,14,861,6.224838,-9.894676,0.138384,-0.399567,-0.099265,0.078086,0.111240,0.058879,0.067227
toy_0862,22,14,862,6.294840,-9.929929,0.238367,-0.410774,-0.258810,0.071907,0.126411,0.058894,0.072255
toy_0863,23,14,863,6.206641,-9.877582,0.229507,-0.445343,-0.240665,0.065953,0.101851,0.061980,0.073723
toy_0864,24,14,864,6.234013,-9.972169,0.231454,-0.397627,-0.090247,0.073777,0.113385,0.050462,0.070240
toy_0865,25,14,865,6.300166,-9.904018,0.230349,-0.425348,-0.187036,0.065297,0.100023,0.058494,0.066926
toy_0866,26,14,866,6.355167,-9.828690,0.215479,-0.436081,-0.200989,0.067364,0.105526,0.062551,0.065541
toy_0867,27,14,867,6.278567,-10.040293,0.251026,-0.426967,-0.276102,0.063569,0.104703,0.051760,0.071586
toy_0868,28,14,868,6.247375,-9.863358,0.223984,-0.409490,-0.230630,0.063570,0.139634,0.068996,0.075676
toy_0869,29,14,869,6.237135,-9.858636,0.219272,-0.406427,-0.299079,0.073889,0.105402,0.056960,0.066502
toy_0870,30,14,870,6.264035,-10.021412,0.267613,-0.425165,-0.123331,0.076308,0.124590,0.060554,0.076036
toy_0871,31,14,871,6.233945,-9.887344,0.194638,-0.448788,-0.414932,0.063756,0.112880,0.054028,0.061746
toy_0872,32,14,872,6.283416,-9.943992,0.192934,-0.422990,-0.166386,0.063753,0.137310,0.050033,0.065352
toy_0873,33,14,873,6.195369,-9.999054,0.263797,-0.403586,-0.219868,0.071593,0.106113,0.054276,0.072811
toy_0874,34,14,874,6.159914,-9.952293,0.220129,-0.378318,-0.429274,0.065331,0.101037,0.060323,0.078626
toy_0875,35,14,875,6.277708,-9.909350,0.217948,-0.438326,-0.144693,0.061100,0.138368,0.053682,0.072909
toy_0876,36,14,876,6.286762,-9.902084,0.166757,-0.473250,-0.310121,0.079274,0.112717,0.058146,0.073395
toy_0877,37,14,877,6.274064,-9.950805,0.179765,-0.411429,-0.190139,0.072427,0.121369,0.053628,0.072368
toy_0878,38,14,878,6.270235,-9.919030,0.203340,-0.419835,-0.267594,0.060867,0.108567,0.064982,0.065244
toy_0879,39,14,879,6.312334,-9.964771,0.208608,-0.478488,-0.281589,0.065348,0.137654,0.061824,0.065542
toy_0913,13,15,913,6.232092,-9.874815,0.212629,-0.468518,-0.298535,0.063252,0.104903,0.050665,0.067833
toy_0914,14,15,914,6.142506,-10.040385,0.260521,-0.418821,-0.290150,0.079432,0.117059,0.068719,0.065399
toy_0915,15,15,915,6.328799,-9.984115,0.196665,-0.441456,-0.239476,0.061298,0.104404,0.054380,0.073062
toy_0916,16,15,916,6.253765,-9.968721,0.195125,-0.441861,-0.285729,0.076847,0.120767,0.061526,0.060388
toy_0917,17,15,917,6.205283,-9.983186,0.203170,-0.407497,-0.389522,0.067589,0.102250,0.058655,0.063068
toy_0918,18,15,918,6.208705,-9.930024,0.226289,-0.387394,-0.235409,0.063071,0.137701,0.065428,0.079028
toy_0919,19,15,919,6.217865,-9.851973,0.205193,-0.413143,-0.115773,0.064363,0.105626,0.060669,0.061998
toy_0920,20,15,920,6.252429,-10.033738,0.232961,-0.425090,-0.308921,0.070396,0.123818,0.064669,0.071691
toy_0921,21,15,921,6.257840,-10.010173,0.207360,-0.442328,-0.158909,0.071630,0.115076,0.064528,0.079724
toy_0922,22,15,922,6.185096,-9.893388,0.134478,-0.381213,-0.180797,0.061524,0.136533,0.063642,0.070787
toy_0923,23,15,923,6.191064,-9.861356,0.226138,-0.382601,-0.375762,0.075749,0.122574,0.064503,0.071896
toy_0924,24,15,924,6.258452,-9.919361,0.248690,-0.424533,-0.348713,0.071681,0.134896,0.066171,0.078303
toy_0925,25,15,925,6.239985,-9.918596,0.190346,-0.399515,-0.326452,0.075879,0.122217,0.052929,0.060978
toy_0926,26,15,926,6.296977,-9.854210,0.254137,-0.418079,-0.192608,0.061431,0.100622,0.065054,0.071107
toy_0927,27,15,927,6.198498,-9.896179,0.213500,-0.356386,-0.275173,0.067597,0.125994,0.056646,0.074675
toy_0928,28,15,928,6.239496,-10.008876,0.250477,-0.417438,-0.241310,0.068177,0.127761,0.065942,0.077721
toy_0929,29,15,929,6.282967,-9.933236,0.222526,-0.400137,-0.327514,0.069020,0.128598,0.054496,0.076651
toy_0930,30,15,930,6.255090,-10.000835,0.194501,-0.420046,-0.287457,0.071373,0.126008,0.054395,0.074405
toy_0931,31,15,931,6.233321,-10.015779,0.240233,-0.414289,-0.301445,0.063484,0.116524,0.062534,0.069474
toy_0932,32,15,932,6.240313,-10.007746,0.231356,-0.408628,-0.243792,0.071357,0.128620,0.057022,0.062767
toy_0933,33,15,933,6.257131,-10.008232,0.227392,-0.432181,-0.297332,0.064414,0.123186,0.054631,0.066589
toy_0934,34,15,934,6.282379,-9.979774,0.226207,-0.354366,-0.238931,0.068744,0.109259,0.054504,0.061509
toy_0935,35,15,935,6.232831,-9.891981,0.235978,-0.399501,-0.306508,0.067020,0.116752,0.069189,0.061400
toy_0936,36,15,936,6.245660,-10.006197,0.251189,-0.431218,-0.392343,0.067886,0.107878,0.054458,0.062461
toy_0937,37,15,937,6.248510,-9.988040,0.172231,-0.441700,-0.344509,0.063807,0.109093,0.062097,0.060666
toy_0938,38,15,938,6.278712,-9.963748,0.250486,-0.468567,-0.225205,0.066286,0.103714,0.067442,0.065414
toy_0939,39,15,939,6.204439,-9.955858,0.236632,-0.463248,-0.248628,0.068522,0.104415,0.066825,0.064639
toy_0940,40,15,940,6.173339,-9.813957,0.154236,-0.489175,-0.189883,0.075024,0.137606,0.059196,0.066911
toy_0941,41,15,941,6.215868,-9.907732,0.242709,-0.382169,-0.260963,0.069293,0.128577,0.066436,0.063326
toy_0972,12,16,972,6.182816,-9.861521,0.200512,-0.431464,-0.299329,0.079122,0.123661,0.063063,0.066955
toy_0973,13,16,973,6.220480,-9.886561,0.243846,-0.446884,-0.160764,0.066997,0.115343,0.060471,0.060631
toy_0974,14,16,974,6.227152,-10.021197,0.180540,-0.460747,-0.372154,0.075698,0.127865,0.067710,0.062990
toy_0975,15,16,975,6.194083,-9.978362,0.199897,-0.510010,-0.236610,0.073656,0.128461,0.063685,0.068959
toy_0976,16,16,976,6.243410,-9.893525,0.204663,-0.440758,-0.172068,0.065211,0.114025,0.055565,0.063825
toy_0977,17,16,977,6.215383,-9.908062,0.233360,-0.399459,-0.183140,0.065700,0.105236,0.069197,0.062594
toy_0978,18,16,978,6.364964,-9.987889,0.189663,-0.416547,-0.301938,0.067148,0.109814,0.064548,0.060384
toy_0979,19,16,979,6.302281,-9.961548,0.250566,-0.392100,-0.318967,0.069758,0.126375,0.063510,0.076221
toy_0980,20,16,980,6.246593,-10.074250,0.208737,-0.412278,-0.191802,0.063210,0.122758,0.062686,0.069919
toy_0981,21,16,981,6.335247,-9.912538,0.225131,-0.428227,-0.285652,0.076727,0.115953,0.052466,0.066173
toy_0982,22,16,982,6.318153,-9.921303,0.284114,-0.387125,-0.125820,0.078193,0.114609,0.064416,0.077086
toy_0983,23,16,983,6.343844,-9.873379,0.217743,-0.385007,-0.224414,0.076457,0.109948,0.053941,0.070703
toy_0984,24,16,984,6.289895,-10.011940,0.235416,-0.390594,-0.217031,0.076428,0.115827,0.053791,0.067267
toy_0985,25,16,985,6.212883,-10.055302,0.287866,-0.399827,-0.279017,0.068006,0.135917,0.053322,0.070524
toy_0986,26,16,986,6.252678,-10.017904,0.265492,-0.381779,-0.210986,0.073318,0.119390,0.057723,0.069072
toy_0987,27,16,987,6.298854,-9.899120,0.228845,-0.395073,-0.282756,0.063935,0.101254,0.063172,0.077502
toy_0988,28,16,988,6.264451,-10.049418,0.241990,-0.363119,-0.121977,0.074367,0.103665,0.066704,0.069908
toy_0989,29,16,989,6.309360,-10.124086,0.254967,-0.402998,-0.297998,0.066849,0.131203,0.052586,0.062380
toy_0990,30,16,990,6.185376,-9.992844,0.250458,-0.358716,-0.386138,0.060770,0.139104,0.063409,0.072703
toy_0991,31,16,991,6.348831,-9.905740,0.243741,-0.376955,-0.267444,0.061893,0.116266,0.069582,0.073917
toy_0992,32,16,992,6.259114,-9.977732,0.229760,-0.386144,-0.272939,0.066805,0.137539,0.060828,0.076647
toy_0993,33,16,993,6.309623,-9.984345,0.219252,-0.422543,-0.175796,0.062621,0.106911,0.069036,0.072699
toy_0994,34,16,994,6.244986,-9.943758,0.290080,-0.382352,-0.167793,0.072596,0.136494,0.066016,0.066883
toy_0995,35,16,995,6.179213,-9.943799,0.255733,-0.443362,-0.193188,0.069297,0.130082,0.051936,0.076195
toy_0996,36,16,996,6.193155,-9.974822,0.208776,-0.436894,-0.208232,0.076074,0.135217,0.056699,0.071433
toy_0997,37,16,997,6.315915,-9.953287,0.236547,-0.431754,-0.315680,0.069007,0.112685,0.064850,0.064648
toy_0998,38,16,998,6.235361,-9.906353,0.156795,-0.458155,-0.201469,0.078402,0.101837,0.051130,0.072766
toy_0999,39,16,999,6.226804,-10.091713,0.206761,-0.409803,-0.284579,0.061360,0.137979,0.066124,0.077763
toy_1000,40,16,1000,6.221153,-10.087141,0.107188,-0.409166,-0.260434,0.069575,0.130670,0.064245,0.066188
toy_1001,41,16,1001,6.340218,-9.923954,0.220647,-0.435977,-0.306557,0.078575,0.114424,0.059697,0.075404
toy_1002,42,16,1002,6.232384,-9.883543,0.200176,-0.414643,-0.251091,0.063228,0.111161,0.067289,0.062594
toy_1031,11,17,1031,6.306719,-9.966185,0.222260,-0.414686,-0.269075,0.067192,0.114379,0.067877,0.065325
toy_1032,12,17,1032,6.290444,-10.024182,0.206445,-0.461667,-0.260375,0.076841,0.107258,0.060451,0.067895
toy_1033,13,17,1033,6.235503,-10.063058,0.266244,-0.422227,-0.286038,0.078426,0.132391,0.060095,0.074088
toy_1034,14,17,1034,6.196969,-10.000068,0.226295,-0.436851,-0.125636,0.067339,0.107550,0.063243,0.072955
toy_1035,15,17,1035,6.218003,-9.810780,0.248048,-0.439478,-0.266364,0.060038,0.123434,0.061983,0.076393
toy_1036,16,17,1036,6.261032,-9.937193,0.257584,-0.436971,-0.300535,0.071108,0.121227,0.068722,0.063944
toy_1037,17,17,1037,6.246540,-9.905242,0.193947,-0.354336,-0.303579,0.078581,0.134695,0.054380,0.079902
toy_1038,18,17,1038,6.298767,-10.012578,0.270961,-0.384528,-0.303863,0.074473,0.114838,0.063332,0.072889
toy_1039,19,17,1039,6.327333,-9.916357,0.236046,-0.404626,-0.304687,0.076446,0.100916,0.054609,0.076856
toy_1040,20,17,1040,6.265545,-9.985302,0.222346,-0.348623,-0.217279,0.079609,0.127857,0.059602,0.060099
toy_1041,21,17,1041,6.259932,-9.994126,0.258185,-0.377879,-0.235939,0.065311,0.119231,0.051177,0.076336
toy_1042,22,17,1042,6.307724,-9.882031,0.222253,-0.395115,-0.379002,0.066371,0.121502,0.056939,0.066624
toy_1043,23,17,1043,6.256396,-10.036922,0.309098,-0.368599,-0.304314,0.078321,0.109946,0.065976,0.060591
toy_1044,24,17,1044,6.249174,-9.960290,0.321249,-0.322260,-0.306587,0.079255,0.135657,0.055857,0.064830
toy_1045,25,17,1045,6.321190,-9.959753,0.206224,-0.375574,-0.328122,0.070699,0.133346,0.059608,0.078784
toy_1046,26,17,1046,6.242806,-9.921081,0.261902,-0.366046,-0.239849,0.075076,0.113029,0.065395,0.072970
toy_1047,27,17,1047,6.262657,-9.992950,0.259352,-0.384826,-0.215035,0.079603,0.136461,0.061706,0.067756
toy_1048,28,17,1048,6.254384,-9.889496,0.226496,-0.364656,-0.313751,0.067385,0.108759,0.061782,0.066595
toy_1049,29,17,1049,6.258682,-10.046083,0.256722,-0.351371,-0.261166,0.072609,0.133475,0.052889,0.063771
toy_1050,30,17,1050,6.253678,-9.882418,0.258527,-0.379313,-0.267182,0.078422,0.110171,0.057120,0.072658
toy_1051,31,17,1051,6.302395,-9.929927,0.267019,-0.327419,-0.129919,0.066050,0.121008,0.065856,0.062957
toy_1052,32,17,1052,6.301196,-9.957041,0.295865,-0.428024,-0.297307,0.061834,0.105608,0.067042,0.075100
toy_1053,33,17,1053,6.289241,-9.941030,0.300400,-0.403723,-0.178220,0.077739,0.100178,0.056455,0.075635
toy_1054,34,17,1054,6.247352,-9.930267,0.257635,-0.436193,-0.220979,0.069377,0.137771,0.060317,0.067917
toy_1055,35,17,1055,6.271979,-9.904067,0.211976,-0.384671,-0.095861,0.076379,0.113798,0.059109,0.072891
toy_1056,36,17,1056,6.262313,-9.851288,0.214547,-0.370146,-0.187358,0.074262,0.136540,0.053662,0.072669
toy_1057,37,17,1057,6.229148,-10.059834,0.239308,-0.407618,-0.307632,0.078612,0.137141,0.064270,0.079165
toy_1058,38,17,1058,6.317211,-10.010337,0.176261,-0.349938,-0.180062,0.073495,0.116805,0.050765,0.073849
toy_1059,39,17,1059,6.210984,-9.893161,0.257303,-0.379940,-0.233325,0.067054,0.125982,0.063904,0.065506
toy_1060,40,17,1060,6.262541,-9.989596,0.256829,-0.434660,-0.197663,0.067525,0.138844,0.053797,0.077820
toy_1061,41,17,1061,6.206266,-9.995901,0.210412,-0.464088,-0.272702,0.077433,0.113085,0.061494,0.060621
toy_1062,42,17,1062,6.213346,-9.860942,0.160368,-0.467216,-0.359467,0.060004,0.137293,0.066261,0.072665
toy_1063,43,17,1063,6.263093,-9.933708,0.222804,-0.449855,-0.119690,0.070137,0.106135,0.055714,0.066018
toy_1064,44,17,1064,6.265640,-9.967474,0.196625,-0.421767,-0.224811,0.065064,0.129521,0.054673,0.078630
toy_1090,10,18,1090,6.275117,-9.984435,0.266110,-0.429970,-0.211292,0.075450,0.100142,0.060211,0.079509
toy_1091,11,18,1091,6.215425,-9.885398,0.199555,-0.464188,-0.211180,0.068126,0.124919,0.069574,0.072924
toy_1092,12,18,1092,6.147720,-9.893613,0.194249,-0.453011,-0.224240,0.078119,0.121913,0.062016,0.063905
toy_1093,13,18,1093,6.187324,-9.917456,0.239578,-0.435108,-0.317709,0.076368,0.130767,0.066648,0.078083
toy_1094,14,18,1094,6.235064,-9.978532,0.207784,-0.449932,-0.314223,0.075423,0.128043,0.069632,0.070859
toy_1095,15,18,1095,6.230248,-9.962984,0.174929,-0.474179,-0.310240,0.070710,0.126452,0.068353,0.063634
toy_1096,16,18,1096,6.280636,-10.023102,0.221435,-0.419673,-0.198725,0.065000,0.119960,0.067098,0.069085
toy_1097,17,18,1097,6.283496,-9.994689,0.160768,-0.382739,-0.187989,0.066938,0.122006,0.057969,0.070717
toy_1098,18,18,1098,6.263919,-10.030435,0.157703,-0.370450,-0.270379,0.068961,0.139713,0.062335,0.076526
toy_1099,19,18,1099,6.286660,-9.983303,0.270814,-0.400342,-0.099864,0.074350,0.121398,0.062472,0.066415
toy_1100,20,18,1100,6.282186,-9.910621,0.222709,-0.349060,-0.230379,0.079189,0.115288,0.050727,0.065126
toy_1101,21,18,1101,6.364894,-9.991090,0.262549,-0.383190,-0.373041,0.079640,0.121115,0.068173,0.076865
toy_1102,22,18,1102,6.313877,-9.886231,0.228954,-0.383350,-0.295650,0.073622,0.120425,0.069252,0.078042
toy_1103,23,18,1103,6.317127,-9.933063,0.281594,-0.376761,-0.277180,0.068797,0.102752,0.060864,0.061430
toy_1104,24,18,1104,6.378144,-9.964694,0.315154,-0.396075,-0.332420,0.065365,0.119120,0.064628,0.066428
toy_1105,25,18,1105,6.379758,-9.957547,0.250517,-0.335593,-0.127328,0.072312,0.131190,0.067901,0.068182
toy_1106,26,18,1106,6.308705,-9.973008,0.292912,-0.360194,-0.143810,0.065703,0.117849,0.060396,0.064114
toy_1107,27,18,1107,6.300740,-10.077129,0.268767,-0.309459,-0.304610,0.065607,0.137281,0.056048,0.060219
toy_1108,28,18,1108,6.389504,-9.983289,0.197647,-0.328686,-0.372136,0.067518,0.128990,0.069358,0.071240
toy_1109,29,18,1109,6.449933,-9.921304,0.295513,-0.357421,-0.253120,0.075004,0.101729,0.063156,0.079490
toy_1110,30,18,1110,6.420895,-9.889279,0.246561,-0.334999,-0.272408,0.060342,0.129789,0.068468,0.062252
toy_1111,31,18,1111,6.340371,-9.969539,0.236762,-0.362117,-0.107564,0.071587,0.126194,0.052110,0.070627
toy_1112,32,18,1112,6.329644,-9.902979,0.250895,-0.326455,-0.103830,0.071879,0.117688,0.060446,0.070460
toy_1113,33,18,1113,6.330352,-10.031833,0.259885,-0.417592,-0.202858,0.067025,0.113914,0.052850,0.078590
toy_1114,34,18,1114,6.346917,-10.025214,0.204460,-0.397467,-0.181484,0.064397,0.108721,0.066674,0.076090
toy_1115,35,18,1115,6.306884,-10.000126,0.230969,-0.423787,-0.184519,0.074651,0.126994,0.060800,0.063143
toy_1116,36,18,1116,6.318850,-9.844662,0.208331,-0.393338,-0.170690,0.073950,0.115415,0.057256,0.070263
toy_1117,37,18,1117,6.264919,-9.910520,0.215988,-0.388218,-0.243071,0.067728,0.119507,0.055145,0.073125
toy_1118,38,18,1118,6.252868,-9.878423,0.231103,-0.365065,-0.203261,0.065929,0.129347,0.050083,0.076301
toy_1119,39,18,1119,6.314927,-9.925638,0.268068,-0.450438,-0.247603,0.074129,0.135442,0.052717,0.062927
toy_1120,40,18,1120,6.262539,-9.961508,0.243417,-0.389973,-0.159420,0.072233,0.107385,0.061844,0.072630
toy_1121,41,18,1121,6.178196,-9.916738,0.229893,-0.436283,-0.174666,0.068136,0.138558,0.050293,0.067808
toy_1122,42,18,1122,6.282425,-9.917394,0.167442,-0.419491,-0.203341,0.063946,0.117935,0.069563,0.073931
toy_1123,43,18,1123,6.203459,-9.847353,0.202955,-0.460213,-0.179753,0.079324,0.105844,0.052881,0.071106
toy_1124,44,18,1124,6.247477,-9.895161,0.165975,-0.464738,-0.203122,0.072430,0.111734,0.067671,0.079981
toy_1125,45,18,1125,6.209589,-9.931506,0.205059,-0.425760,-0.245698,0.078872,0.134323,0.063462,0.065579
toy_1149,9,19,1149,6.255792,-9.992113,0.142054,-0.449811,-0.064357,0.078088,0.104870,0.058696,0.068940
toy_1150,10,19,1150,6.250509,-9.951939,0.238234,-0.466365,-0.225723,0.079009,0.114344,0.051432,0.067224
toy_1151,11,19,1151,6.245665,-10.000065,0.200661,-0.476491,-0.404392,0.065625,0.115545,0.064299,0.068536
toy_1152,12,19,1152,6.267784,-9.890533,0.242604,-0.483781,-0.214420,0.067539,0.100420,0.058060,0.070073
toy_1153,13,19,1153,6.296634,-10.048079,0.250141,-0.384787,-0.328657,0.073464,0.115609,0.057614,0.071554
toy_1154,14,19,1154,6.198120,-10.166336,0.198999,-0.442154,-0.124296,0.078133,0.106076,0.053692,0.067176
toy_1155,15,19,1155,6.230830,-9.992790,0.179691,-0.413041,-0.305366,0.076458,0.111798,0.058788,0.062555
toy_1156,16,19,1156,6.225192,-9.980554,0.258825,-0.363088,-0.176803,0.078997,0.119566,0.059623,0.073912
toy_1157,17,19,1157,6.282037,-9.873600,0.262759,-0.386504,-0.267423,0.072813,0.106522,0.066703,0.062564
toy_1158,18,19,1158,6.240996,-9.982057,0.315525,-0.374907,-0.341448,0.070782,0.101698,0.052415,0.075781
toy_1159,19,19,1159,6.289819,-9.966105,0.283285,-0.374181,-0.304929,0.068768,0.136744,0.064455,0.068807
toy_1160,20,19,1160,6.300611,-10.019553,0.335819,-0.389045,-0.271264,0.074479,0.135609,0.053015,0.067267
toy_1161,21,19,1161,6.281125,-9.974600,0.278338,-0.387094,-0.219932,0.064747,0.134405,0.060536,0.064925
toy_1162,22,19,1162,6.360758,-9.997270,0.352921,-0.382290,-0.312514,0.071374,0.112036,0.058035,0.061422
toy_1163,23,19,1163,6.392657,-10.045900,0.290265,-0.320260,-0.221654,0.069537,0.101324,0.067434,0.062032
toy_1164,24,19,1164,6.359153,-9.982577,0.227058,-0.337380,-0.154782,0.065670,0.108759,0.062186,0.073256
toy_1165,25,19,1165,6.411427,-10.003140,0.271967,-0.352137,-0.246655,0.078988,0.120590,0.050195,0.064147
toy_1166,26,19,1166,6.393062,-9.913062,0.309434,-0.338889,-0.131298,0.071322,0.133335,0.059298,0.079054
toy_1167,27,19,1167,6.322129,-10.025983,0.359423,-0.273262,-0.378079,0.073327,0.124333,0.059067,0.076651
toy_1168,28,19,1168,6.446267,-9.982513,0.292761,-0.309344,-0.308992,0.070274,0.114123,0.056419,0.079681
toy_1169,29,19,1169,6.379576,-10.006577,0.254827,-0.359590,-0.305679,0.074540,0.102186,0.056344,0.068678
toy_1170,30,19,1170,6.382845,-10.013399,0.282578,-0.328999,-0.232676,0.071972,0.124243,0.064360,0.067354
toy_1171,31,19,1171,6.309825,-10.039515,0.308991,-0.345200,-0.200483,0.063001,0.123972,0.066913,0.060457
toy_1172,32,19,1172,6.377235,-10.037356,0.281707,-0.343970,-0.152891,0.076653,0.103034,0.065230,0.075872
toy_1173,33,19,1173,6.376502,-9.914947,0.280667,-0.332909,-0.246764,0.069850,0.111973,0.064405,0.076402
toy_1174,34,19,1174,6.383901,-9.967632,0.272077,-0.359377,-0.285532,0.061208,0.124818,0.058330,0.076192
toy_1175,35,19,1175,6.283757,-9.930760,0.274033,-0.376575,-0.173037,0.076147,0.125630,0.058785,0.072536
toy_1176,36,19,1176,6.337570,-9.871473,0.245122,-0.339127,-0.114894,0.078730,0.110384,0.061619,0.068108
toy_1177,37,19,1177,6.290919,-9.979074,0.228943,-0.426169,-0.259396,0.078241,0.120799,0.064587,0.064992
toy_1178,38,19,1178,6.284315,-9.924271,0.278718,-0.372960,-0.276488,0.077769,0.113852,0.064396,0.067726
toy_1179,39,19,1179,6.317134,-9.906101,0.252850,-0.407040,-0.076797,0.075257,0.129971,0.068807,0.079950
