ID,x,y,pixel_index,F090W,F115W,F150W,F200W,F277W,F356W,F444W,e_F090W,e_F115W,e_F150W,e_F200W,e_F277W,e_F356W,e_F444W,keep_pixel
206183_0120,0,2,120,0.001213081,-0.01532861,-0.02989213,-0.01373466,0.04019239,0.01607933,-0.02717936,0.02157219,0.02015054,0.01893753,0.01809442,0.01782117,0.01813428,0.01878153,0
206183_0121,1,2,121,-0.003339205,0.01184875,-0.01841373,-0.02376789,0.01952921,0.04253223,-0.02890655,0.02133357,0.01985082,0.0186092,0.01775957,0.01748731,0.01779487,0.01842732,0
206183_0122,2,2,122,-0.02034438,-0.0008928694,0.01576191,0.00249451,0.001937514,-0.005905529,-0.00188759,0.02218286,0.02058108,0.01915636,0.01805459,0.01745005,0.01748982,0.01789231,0
206183_0123,3,2,123,0.0335934,0.03285964,-0.0323677,-0.008030527,-0.002073598,0.002207822,0.03088779,0.02055065,0.01922865,0.01809185,0.01729089,0.01701246,0.01728431,0.01787046,0
206183_0124,4,2,124,-0.03446646,-0.01484669,-0.008425619,0.002542351,0.01445391,0.04325661,0.01754345,0.01995215,0.01871906,0.01768574,0.01700272,0.01685794,0.01722541,0.01788647,0
206183_0125,5,2,125,0.002061092,0.0265552,0.01598823,0.02187405,-0.01162072,0.003739039,0.01946622,0.02320676,0.02138041,0.01978988,0.01857905,0.01791783,0.01794965,0.01836377,0
206183_0126,6,2,126,-0.007718289,-0.04237551,0.02788248,0.005968019,-0.002725502,0.000334408,0.0191661,0.0226231,0.02100983,0.01960281,0.01855981,0.01807258,0.01823488,0.0187632,0
206183_0127,7,2,127,-0.01574429,0.01198288,0.02295949,0.009490686,-0.02515419,-0.005867599,0.01268512,0.02089549,0.01954126,0.0184082,0.01765286,0.01746979,0.01783795,0.01851977,0
206183_0128,8,2,128,0.007883366,-0.02001368,-0.003734098,-0.01957089,-0.04325042,-0.00350077,0.005659396,0.02170624,0.02021077,0.0188723,0.01783856,0.01728791,0.0173567,0.01777771,0
206183_0129,9,2,129,0.02562462,-0.02441246,-0.01943034,-0.006261425,-0.002417025,0.02342755,0.009156144,0.02193764,0.02037214,0.01900725,0.01799198,0.01750686,0.01764693,0.0181383,0
206183_0130,10,2,130,-0.0008775251,0.021897,-0.0163256,0.01206705,0.008364254,0.02150515,0.01277207,0.02129205,0.01979238,0.01845417,0.01741639,0.01684523,0.01688212,0.01726222,0
206183_0131,11,2,131,0.02237529,-0.0178244,0.006327568,0.005984275,0.0312584,0.02247462,0.0007084242,0.02178648,0.02022831,0.01893036,0.01804457,0.01775711,0.01806815,0.01871255,0
206183_0132,12,2,132,0.01285538,-0.01272777,0.01585133,-0.005095708,0.01212313,0.01110197,0.01901123,0.02249294,0.0207839,0.01933955,0.01830752,0.01786635,0.01806935,0.01862766,0
206183_0133,13,2,133,-0.03380601,-0.03346811,0.01479012,0.03551964,-0.006878962,0.01956062,0.0259858,0.02320754,0.02133842,0.01971967,0.01849069,0.0178154,0.0178364,0.01823895,0
206183_0134,14,2,134,0.02804058,-0.02896881,-0.01236044,0.02459305,0.0188081,0.0486911,0.002673804,0.02106142,0.01964891,0.01845139,0.01762113,0.01734606,0.01764041,0.01825682,0
206183_0135,15,2,135,-0.01317854,-0.02066211,0.01242354,-0.003594804,-0.01166486,0.007044946,-0.01209507,0.02089146,0.01950322,0.01835384,0.01759653,0.01742095,0.01779603,0.01848206,0
